conversation_history	query	rewrited_query	answer	unique_idx	refered_turn	candidates
"['turn 1: Please pick multiple ZIP archives from local storage. -> Sure thing! Here are the ZIP archives you selected:\n- content://downloads/backups/backup_jan.zip\n- content://downloads/backups/backup_feb.zip', ""turn 2: Open content://downloads/backups/backup_feb.zip -> Opening archive 'backup_feb.zip' at content://downloads/backups/backup_feb.zip."", 'turn 3: Help me select a mailing address from my saved contacts. -> Alright—launching the address picker. Please select an entry… Here’s what you chose: content://contacts/addresses/27', ""turn 4: Change content://contacts/addresses/27's address to 456 Elm St, Springfield, IL 62705. -> Address updated—all set! The selected contact's address is now 456 Elm St, Springfield, IL 62705 (content://contacts/addresses/27).""]"	Send those zip files to the backup team in a text message saying 'Here are the January and February backups.'	Send content://downloads/backups/backup_jan.zip and content://downloads/backups/backup_feb.zip to the backup team in a text message saying 'Here are the January and February backups.'	{'plan': 'send_message', 'arguments': {'to': 'the backup team', 'message': 'Here are the January and February backups.', 'attachments': ['content://downloads/backups/backup_jan.zip', 'content://downloads/backups/backup_feb.zip']}}	ACTION_OPEN_DOCUMENT-121-ACTION_OPEN_CONTENT-1-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1	1	['send_message', 'ACTION_IMAGE_CAPTURE', 'search_location', 'play_video', 'ACTION_INSERT_EVENT']
"['turn 1: Gather all Office documents (.doc, .docx, .xls, .xlsx, .ppt) in one go. -> Alright, you can select multiple Office documents—Word (.doc/.docx), Excel (.xls/.xlsx), and PowerPoint (.ppt). Please choose the files.', 'turn 2: Access one of my stored addresses from the contacts database. -> Address picker is ready. Address selected: content://contacts/address/15.', ""turn 3: Change content://contacts/address/15's email to jane.doe@example.com. -> Set email to jane.doe@example.com on the selected address record. (content://contacts/address/15)"", 'turn 4: Email jane.doe@example.com the confirmation about her updated email address -> Email dispatched to jane.doe@example.com confirming her updated email address.']"	Send them to +15557654321 with the message 'Please review these Office files.'	Send the Office documents (.doc, .docx, .xls, .xlsx, .ppt) to +15557654321 with the message 'Please review these Office files.'	{'plan': 'send_message', 'arguments': {'to': '+15557654321', 'message': 'Please review these Office files.'}}	ACTION_OPEN_DOCUMENT-154-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_email-1-send_message-1	1	['send_message', 'ACTION_SET_TIMER', 'ACTION_PICK', 'send_email', 'ACTION_CREATE_DOCUMENT']
['turn 1: Choose several PPT slideshows. -> Got it! Feel free to pick multiple PowerPoint slideshow files (.ppt).', 'turn 2: Access the internal storage settings for my device, please. -> Internal storage settings are now open—manage your device storage as needed.', 'turn 3: Show me a complete summary for /data/alex. -> Here’s the contact summary for /data/alex:\n• Name: Alex Turner\n• Phone: 555-482-1010\n• Email: alex.turner@mobilemail.com\n• Address: 123 Cedar Road, Apt. 5', 'turn 4: Give 555-482-1010 a call -> Dialing 555-482-1010 now...']	Send them to +15553456789 with the message 'Here are the slides.'	Send multiple PowerPoint slideshow files (.ppt) to +15553456789 with the message 'Here are the slides.'	{'plan': 'send_message', 'arguments': {'to': '+15553456789', 'message': 'Here are the slides.'}}	ACTION_OPEN_DOCUMENT-153-open_settings-1_NR-get_contact_info-1_NR-dial-1-send_message-1	1	['ACTION_VIEW_WEB_HISTORY', 'send_message', 'ACTION_SET_ALARM', 'ACTION_SET_RINGTONE', 'ACTION_VIEW_CONTACT']
"[""turn 1: Let me choose multiple PDF and text logs. -> Alright, you can select multiple PDFs and text logs. Choose the files you'd like."", 'turn 2: Could you display an inventory of active timers? -> Here are your active timers: [2 minutes – Break; 15 minutes – Workout cooldown; 1 hour – Laundry cycle]', 'turn 3: Add a 30-minute timer for recovery after 15 minutes – Workout cooldown -> Starting a fresh 30-minute Workout cooldown timer now.', 'turn 4: Obtain phone data available at contact://phone/1122334455. -> Phone number fetched: 112-233-4455.']"	Send those PDFs and text logs to +19876543210 with message 'Here are the logs and PDFs as requested.'	Message +10123456789 the selected Python and Java source files with 'Please review the code examples.'	{'plan': 'send_message', 'arguments': {'to': '+19876543210', 'message': 'Here are the logs and PDFs as requested.'}}	ACTION_OPEN_DOCUMENT-160-ACTION_SHOW_TIMERS-1_NR-ACTION_SET_TIMER-1-get_contact_info_from_uri-1_NR-send_message-1	1	['play_music', 'ACTION_VIEW_EVENT', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_WEB_HISTORY', 'send_message']
"['turn 1: Select multiple source code files in Python and Java. -> Opening the picker for Python and Java source files. You can select multiple .py and .java files.', 'turn 2: Create a new Python source code file named main.py. -> New Python file created: content://documents/main.py', 'turn 3: Edit content://documents/main.py to insert a main function template. -> Inserted a main function template into main.py. Ready for further coding here: content://documents/main.py', 'turn 4: I want to book an event called \'Dinner Party\' described as a celebration dinner for the team. It will take place at Alex\'s Restaurant from 1700400000000 to 1700407200000. -> All set! Your ""Dinner Party"" at Alex\'s Restaurant is on your calendar from 1700400000000 to 1700407200000. Here’s the link: content://calendar/event/2']"	Message +10123456789 the selected Python and Java source files with 'Please review the code examples.'	Share content://documents/FullBackup.zip via SMS to +1122334455 saying 'Backup of my archive'.	{'plan': 'send_message', 'arguments': {'to': '+10123456789', 'message': 'Please review the code examples.'}}	ACTION_OPEN_DOCUMENT-161-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_INSERT_EVENT-1_NR-send_message-1	1	['ACTION_GET_RINGTONE', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_SET_ALARM', 'send_message', 'launch_application']
"[""turn 1: I'd like to upload any type of file for a quick backup. -> Your file has been selected for backup: content://files/backup_archive.zip"", 'turn 2: Save content://files/backup_archive.zip as a new ZIP file named FullBackup.zip -> Backup complete: you can find FullBackup.zip here: content://documents/FullBackup.zip', 'turn 3: Edit content://documents/FullBackup.zip to add a README file describing its contents -> Your backup archive has been updated with a README describing its contents. Access the revised FullBackup.zip here: content://documents/FullBackup.zip', ""turn 4: Could you pick a contact for me from my records? -> I've selected a contact for you: content://contacts/people/15""]"	Share that file via SMS to +1122334455 saying 'Backup of my archive'.	Send the PDFs and text logs selected in turn 1 to +19876543210 with message 'Here are the logs and PDFs as requested.'	{'plan': 'send_message', 'arguments': {'to': '+1122334455', 'message': 'Backup of my archive', 'attachments': ['content://documents/FullBackup.zip']}}	ACTION_GET_CONTENT-170-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_PICK-1_NR-send_message-1	1	['ACTION_GET_RINGTONE', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_CONTACT', 'send_message', 'dial']
"['turn 1: Select multiple images to include in a photo collage. -> Here are the images you picked for the collage:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 2: Start my smartphone's camera in still image mode to snap a photo. -> Photo mode initiated. Feel free to take a snapshot."", 'turn 3: Pick content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all. -> All set! You selected:\n- content://gallery/holiday1.jpg\n- content://gallery/holiday2.jpg\n- content://gallery/holiday3.jpg\n- content://gallery/holiday4.jpg', ""turn 4: Create a new PDF named HolidayCollage.pdf and import content://gallery/holiday1.jpg, content://gallery/holiday2.jpg, content://gallery/holiday3.jpg, and content://gallery/holiday4.jpg all into it. -> All done! 'HolidayCollage.pdf' has been generated at content://documents/HolidayCollage.pdf.""]"	Send them to John with the message 'Here's the holiday pics we took!'	Send content://documents/HolidayCollage.pdf to John with the message 'Here's the holiday pics we took!'	"{'plan': 'send_message', 'arguments': {'to': 'John', 'message': ""Here's the holiday pics we took!"", 'attachments': ['content://documents/HolidayCollage.pdf']}}"	ACTION_GET_CONTENT-171-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_CREATE_DOCUMENT-1-send_message-1	1	['ACTION_SET_RINGTONE', 'ACTION_PICK', 'send_message', 'play_video', 'ACTION_OPEN_CONTENT']
"['turn 1: Fetch multiple Excel spreadsheets from your local storage. -> Fetched the requested spreadsheets:\n• content://spreadsheets/budget_report.xls\n• content://spreadsheets/sales_data.xls', 'turn 2: I am looking for address information for the contact at /contacts/tina_address. -> Tina’s address is 123 Maple Street, Springfield, IL 62704.', 'turn 3: Show 123 Maple Street, Springfield, IL 62704 on a map -> Pin dropped at 123 Maple Street, Springfield, IL 62704. Map view ready.', ""turn 4: Add a calendar event at 123 Maple Street, Springfield, IL 62704 tomorrow at 3 PM titled Doctor's Appointment, description Annual checkup, from 3 PM to 4 PM. -> Your 'Doctor’s Appointment' is scheduled tomorrow at 3:00\xa0PM–4:00\xa0PM at 123 Maple Street, Springfield, IL 62704. You can view it here: content://calendar/event/113.""]"	Text those spreadsheets to +19876543210 saying 'Please review these reports.'	Show me Kate L.’s contact details	{'plan': 'send_message', 'arguments': {'to': '+19876543210', 'message': 'Please review these reports.', 'attachments': ['content://spreadsheets/budget_report.xls', 'content://spreadsheets/sales_data.xls']}}	ACTION_GET_CONTENT-173-get_contact_info-1_NR-search_location-1-ACTION_INSERT_EVENT-1-send_message-1	1	['search_location', 'send_message', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_CALL_LOG', 'web_search']
"['turn 1: Modify Jack’s email to jack@newmail.com and address to 42 Wallaby Way, Sydney. Contact: content://contacts/people/jackp. -> All set! Jack’s email is now jack@newmail.com and his address is updated to 42 Wallaby Way, Sydney.', 'turn 2: Show me content://contacts/people/jackp contact details. -> Here’s Jack P.’s full contact view (content://contacts/people/jackp). Let me know if you want any edits.', 'turn 3: Ring 555-123-4567 up -> Placing a call to 555-123-4567...', ""turn 4: Add 555-123-4567 as 'Boss' and include an address '123 Business Rd' -> Boss has been added to your contacts with phone 555-123-4567 and address 123 Business Rd. You can view it here: content://contacts/people/boss""]"	Open his contact card	Open content://contacts/people/jackp contact card	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/jackp'}}	ACTION_EDIT_CONTACT-66-ACTION_VIEW_CONTACT-1-dial-1-ACTION_INSERT_CONTACT-1-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_RECENT_APPS', 'search_location', 'open_settings', 'launch_application', 'ACTION_VIEW_CONTACT']
"[""turn 1: Please change Kate's phone from 9876543210 to 0123456789 at content://contacts/people/kate_l. -> Done! Kate’s phone number has been updated to 0123456789."", 'turn 2: Open content://contacts/people/kate_l contact’s info. -> All set—here’s Kate L.’s contact info (content://contacts/people/kate_l).', 'turn 3: Add 123 Elm Street, Springfield to Kate L.’s contact info (content://contacts/people/kate_l) -> Success! Added “123 Elm Street, Springfield” to Kate L.’s contact. Updated URI: content://contacts/people/kate_l', 'turn 4: Find 123 Elm Street, Springfield on a map. -> Pin’s in place at 123 Elm Street, Springfield. Take a look!']"	Show me her contact details	Open content://contacts/people/kate_l contact's details.	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/kate_l'}}	ACTION_EDIT_CONTACT-67-ACTION_VIEW_CONTACT-1-ACTION_EDIT_CONTACT-1-search_location-1-ACTION_VIEW_CONTACT-1	1	['search_location', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_PLAYLIST', 'web_search', 'ACTION_PICK']
"[""turn 1: Please change Kate's phone from 9876543210 to 0123456789 at content://contacts/people/kate_l. -> Done! Kate’s phone number has been updated to 0123456789."", 'turn 2: Open content://contacts/people/kate_l contact’s info. -> All set—here’s Kate L.’s contact info (content://contacts/people/kate_l).', 'turn 3: Add 123 Elm Street, Springfield to Kate L.’s contact info (content://contacts/people/kate_l) -> Success! Added “123 Elm Street, Springfield” to Kate L.’s contact. Updated URI: content://contacts/people/kate_l', ""turn 4: Send Kate L. a message saying 'Just added your new address: 123 Elm Street, Springfield. Let me know if it's correct.' -> All set—message successfully sent to Kate L.""]"	Open that contact's details.	Display Frank's contact details	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/kate_l'}}	ACTION_EDIT_CONTACT-67-ACTION_VIEW_CONTACT-1-ACTION_EDIT_CONTACT-1-send_message-1-ACTION_VIEW_CONTACT-1	1	['play_video', 'ACTION_VIEW_CONTACT', 'ACTION_SET_TIMER', 'ACTION_EDIT_VIDEO', 'ACTION_VIDEO_CAPTURE']
"[""turn 1: Make sure Rebecca's contact at content://contacts/people/rebecca includes the address 5 Broadway St, her company Broadway Inc, and email rebecca@broadway.com. -> Rebecca’s contact has been enriched with all the details—Address: 5 Broadway St, Company: Broadway Inc, Email: rebecca@broadway.com. (URI: content://contacts/people/rebecca)"", 'turn 2: What timers are currently counting down on my device? -> Here are your active timers:\n• 7 minutes left on Laundry\n• 12 minutes left on Meditation\n• 3 minutes left on Tea steeping', 'turn 3: Could you trigger the video camera to record footage of my surroundings? -> Launching video camera… All set!', 'turn 4: Capture a short video and save it to content://videos/my_surroundings.mp4 -> Your video has been recorded successfully and saved to content://videos/my_surroundings.mp4.']"	Let me see her contact info	Let me see Rebecca's contact info	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/rebecca'}}	ACTION_EDIT_CONTACT-109-ACTION_SHOW_TIMERS-1_NR-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIDEO_CAPTURE-1-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_SENT_MESSAGES', 'search_location', 'ACTION_VIEW_PLAYLIST', 'ACTION_VIEW_CONTACT', 'play_video']
"['turn 1: Hey, please update the address and email for Frank (URI: content://contacts/people/frank). Address: 55 Maple Ave, Boston. Email: frank@maple.com -> Alright, opening Frank’s contact. You can fill in the address 55 Maple Ave, Boston and email frank@maple.com.', 'turn 2: Show me where 55 Maple Ave, Boston is. -> Mapping 55 Maple Ave: 55 Maple Ave, Boston, MA 02134, USA—take a look!', 'turn 3: Guide me to 55 Maple Ave, Boston. -> Launching navigation to 55 Maple Ave, Boston. Enjoy the ride!', ""turn 4: Find recent studies on the advantages of meditation. -> Search results for 'advantages of meditation recent studies': Evidence highlights stress reduction, enhanced cognitive performance, and better emotional regulation.""]"	Display his contact details	Open content://contacts/people/jackp contact record	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/frank'}}	ACTION_EDIT_CONTACT-62-search_location-1-ACTION_NAVIGATE_TO_LOCATION-1-web_search-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_SHOW_ALARMS', 'ACTION_INSERT_CONTACT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_CALL_LOG']
['turn 1: Modify Jack’s email to jack@newmail.com and address to 42 Wallaby Way, Sydney. Contact: content://contacts/people/jackp. -> All set! Jack’s email is now jack@newmail.com and his address is updated to 42 Wallaby Way, Sydney.', 'turn 2: Show me content://contacts/people/jackp contact details. -> Here’s Jack P.’s full contact view (content://contacts/people/jackp). Let me know if you want any edits.', 'turn 3: Ring 555-123-4567 up -> Placing a call to 555-123-4567...', 'turn 4: What are my latest calls? -> Here’s the list of your latest calls:\n• 555-123-4567 (Outgoing) – Today, 3:05\xa0PM\n• 555-0155 (Incoming) – Yesterday, 2:00\xa0PM\n• 555-9876 (Missed) – June\xa010, 6:45\xa0PM']	Open his contact record	Display content://contacts/people/will_smith's info	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/jackp'}}	ACTION_EDIT_CONTACT-66-ACTION_VIEW_CONTACT-1-dial-1-ACTION_VIEW_CALL_LOG-1-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_CREATE_DOCUMENT', 'INTENT_ACTION_VIDEO_CAMERA', 'ACTION_VIEW_CONTACT']
['turn 1: Set up a record for Will Smith at Bel-Air Productions, phone 415-333-1212. -> Will Smith’s contact added. See content://contacts/people/will_smith', 'turn 2: Open content://contacts/people/will_smith details -> Loading Will Smith’s contact information: content://contacts/people/will_smith', 'turn 3: Call 415-333-1212. -> Initiating call to 415-333-1212...', 'turn 4: Turn on the video function of my camera so that I can start recording the demonstration. -> Video mode ready—go ahead and capture your demonstration.']	Display that contact's info	Show me content://contacts/people/4153331212 details	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/will_smith'}}	ACTION_INSERT_CONTACT-427-ACTION_VIEW_CONTACT-1-dial-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_SET_ALARM', 'ACTION_VIEW_CONTACT', 'ACTION_SET_TIMER', 'launch_application', 'dial']
['turn 1: Set up a record for Will Smith at Bel-Air Productions, phone 415-333-1212. -> Will Smith’s contact added. See content://contacts/people/will_smith', 'turn 2: Open content://contacts/people/will_smith details -> Loading Will Smith’s contact information: content://contacts/people/will_smith', 'turn 3: Call 415-333-1212. -> Initiating call to 415-333-1212...', 'turn 4: Add 415-333-1212 to my contacts -> All set! Added 415-333-1212 to your contacts. You’ll find it at content://contacts/people/4153331212']	Show me that contact's details	Open https://www.linkedin.com/in/john	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/4153331212'}}	ACTION_INSERT_CONTACT-427-ACTION_VIEW_CONTACT-1-dial-1-ACTION_INSERT_CONTACT-1-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_CONTACT', 'get_contact_info', 'ACTION_EDIT_CONTACT', 'ACTION_VIEW_RECENT_APPS', 'ACTION_PICK']
"['turn 1: Insert Sarah Connor with phone 610-555-1212, email sarah.connor@resistance.net. -> Sarah Connor’s contact entry is live! content://contacts/people/sarah_connor', ""turn 2: Need a dialog to choose a PDF document; I'm only selecting one file. -> Understood—opening the PDF selector. Please pick the single document you want."", ""turn 3: Go ahead and create one as a PDF named Invoice.pdf. -> Your new PDF 'Invoice.pdf' is ready: content://documents/Invoice.pdf."", ""turn 4: Edit content://documents/Invoice.pdf to add today's date and the total amount -> Editing content://documents/Invoice.pdf now. I’ve inserted today’s date and the total amount—feel free to review or adjust.""]"	Open her contact details	Text content://spreadsheets/budget_report.xls and content://spreadsheets/sales_data.xls to +19876543210 saying 'Please review these reports.'	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/sarah_connor'}}	ACTION_INSERT_CONTACT-426-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_EDIT_DOCUMENT-1-ACTION_VIEW_CONTACT-1	1	['ACTION_OPEN_CONTENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_EDIT_ALARM', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_CALL_LOG']
"[""turn 1: Add Rosalind Franklin: email rosie@chemistry.co.uk, note 'Scientist'. -> Rosalind Franklin’s contact entry is now in your list. (content://contacts/people/rosalind_franklin)"", 'turn 2: I need a list of all timers that are in progress right now. -> All timers currently in progress: [15 minutes – Report drafting; 6 minutes – Quick break; 25 minutes – Pasta cooking].', 'turn 3: I require the phone info from contact://phone/office/321. -> Got it — the office line is (555) 321‑0000.', ""turn 4: Retrieve the contact information from the resource at 'contact://linkedin/in-john'. -> Here’s John’s LinkedIn profile link: https://www.linkedin.com/in/john.""]"	Open that contact	Open Sarah Connor’s contact details	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'https://www.linkedin.com/in/john'}}	ACTION_INSERT_CONTACT-430-ACTION_SHOW_TIMERS-1_NR-get_contact_info_from_uri-1_NR-get_contact_info_from_uri-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_OPEN_DOCUMENT', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_CONTACT', 'ACTION_VIDEO_CAPTURE', 'launch_application']
"[""turn 1: I'd like to select the email ID of one of my contacts to verify it. -> Opening your contacts’ email addresses. Please choose the email you want to verify."", ""turn 2: Please get the info linked to this URI: 'contact://info/phone_number'. -> Contact info from contact://info/phone_number: +1-234-567-8900."", ""turn 3: Activate the system's still camera so I can quickly snap a photo. -> Sure, still image camera is ready for your shot."", 'turn 4: Go ahead and snap the picture. -> Here you go! The photo is saved at content://camera/IMG_7890.jpg.']"	Show me the contact details for that email entry.	Show me the contact details for the email entry I want to verify.	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'contact://info/phone_number'}}	ACTION_PICK-532-get_contact_info_from_uri-1_NR-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_IMAGE_CAPTURE-1-ACTION_VIEW_CONTACT-1	1	['ACTION_EDIT_VIDEO', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_SHOW_TIMERS', 'ACTION_PICK', 'ACTION_VIEW_CONTACT']
"[""turn 1: What's the phone number for the contact with URI content://contacts/people/1011? -> The phone number for contact 1011 is (555) 321-4321."", 'turn 2: Locate (555) 321-4321 on the map -> I’m not finding a map location for that phone number.', 'turn 3: Can you prompt the video camera to start recording? -> Video camera is now running—record away!', 'turn 4: Pick several of video camera recordings for me -> Sure—showing your saved recordings. Pick as many video files as you like.']"	Open that contact	Open contact://contacts/people/1011	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1011'}}	get_contact_info-971-search_location-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-ACTION_GET_CONTENT-1-ACTION_VIEW_CONTACT-1	1	['send_message', 'ACTION_GET_RINGTONE', 'ACTION_VIEW_CALL_LOG', 'ACTION_VIEW_SENT_EMAILS', 'ACTION_VIEW_CONTACT']
['turn 1: Show the full record for content://profiles/contacts/104. -> Full details for contact 104:\n• Name: David Wilson\n• Phone: 202‑555‑0144\n• Email: dwilson@profiles.com\n• Address: 75 Sunset Blvd, Los Angeles, CA', 'turn 2: Show content://profiles/contacts/104 -> Here’s David Wilson’s complete record:\nPhone: 202‑555‑0144\nEmail: dwilson@profiles.com\nAddress: 75 Sunset Blvd, Los Angeles, CA', 'turn 3: Retrieve a mailing address from the contacts stored on my phone. -> Select a mailing address from your contacts.', 'turn 4: Fetch the mailing address from content://contacts/address/31 -> Mailing address found: 4328 Elm Street, Springfield, IL 62704.']	Open that profile contact	View content://contacts/people/42	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/address/31'}}	get_contact_info-1007-ACTION_VIEW_CONTACT-1-ACTION_PICK-1_NR-get_contact_info_from_uri-1-ACTION_VIEW_CONTACT-1	1	['ACTION_OPEN_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'ACTION_VIEW_CONTACT', 'get_contact_info_from_uri', 'send_message']
"['turn 1: Give me a summary of the contact at content://contacts/people/42. -> Here’s what I found:\n• Name: Michael Lee\n• Phone: 555-987-6543\n• Email: michael.lee42@example.com\n• Address: 321 Oak St, Centerville, OH 45459', 'turn 2: Pin 321 Oak St, Centerville, OH 45459 -> Done! 321 Oak St, Centerville, OH 45459 has been pinned.', 'turn 3: Please allow me to choose a single PDF file from my list; one is enough. -> Here’s the PDF picker—please choose the single file you’d like to open.', ""turn 4: I’ll need a new PDF file from my list named Proposal.pdf. -> I've generated 'Proposal.pdf' for you: content://documents/Proposal.pdf.""]"	View that contact	Let me view content://contacts/people/1011	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/42'}}	get_contact_info-970-search_location-1-ACTION_OPEN_DOCUMENT-1_NR-ACTION_CREATE_DOCUMENT-1-ACTION_VIEW_CONTACT-1	1	['play_video', 'ACTION_VIEW_SENT_EMAILS', 'web_search', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT']
"['turn 1: I need the postal address for the client whose URI is content://com.company.contacts/contact/789. -> Got it. The mailing address on file is 456 Corporate Blvd, Suite 100, Business City, CA 90001.', 'turn 2: Update content://com.company.contacts/contact/789’s address to 123 New Ave, Floor\xa05, Businesstown,\xa0NY\xa010002. -> Address updated! The new address for content://com.company.contacts/contact/789 is now 123 New Ave, Floor\xa05, Businesstown,\xa0NY\xa010002.', 'turn 3: Initiate an alarm at 20:40 with a ringtone from https://example.org/ringtone.mp3. -> Your 8:40\xa0PM alarm (alarm_505) with the custom tone is all set.', ""turn 4: Add a label ‘Evening Alert’, bump 'alarm_505' to 9:00 PM, and skip confirmation when setting 'alarm_505'. -> Your 'Evening Alert' alarm (alarm_505) is now set for 9:00 PM, and the confirmation dialog will be skipped.""]"	Show me that client's contact details	Show me content://com.company.contacts/contact/789's contact details	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://com.company.contacts/contact/789'}}	get_contact_info-969-ACTION_EDIT_CONTACT-1-ACTION_SET_ALARM-1_NR-ACTION_EDIT_ALARM-1-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_SENT_EMAILS', 'INTENT_ACTION_VIDEO_CAMERA', 'dial', 'ACTION_GET_CONTENT', 'ACTION_VIEW_CONTACT']
['turn 1: Could you pull email info from content://com.company.contacts/contact/432? -> Got it—contact 432’s email is sarah.connors@company.com.', 'turn 2: Open content://com.company.contacts/contact/432 -> Sarah Connors’ info:\nPhone: 555‑210‑9876\nEmail: sarah.connors@company.com\nAddress: 500 Silicon Valley Rd, Palo Alto, CA', 'turn 3: I’d like you to choose a phone number from my contacts. -> Received! Here’s the phone info you wanted: content://contacts/phone/55', 'turn 4: Call content://contacts/phone/55 -> Initiating call to content://contacts/phone/55...']	View the full record for that contact	Open content://profiles/contacts/104	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://com.company.contacts/contact/432'}}	get_contact_info-1006-ACTION_VIEW_CONTACT-1-ACTION_PICK-1_NR-dial-1-ACTION_VIEW_CONTACT-1	1	['send_message', 'ACTION_VIEW_CONTACT', 'ACTION_INSERT_EVENT', 'INTENT_ACTION_VIDEO_CAMERA', 'web_search']
"[""turn 1: What's the phone number for the contact with URI content://contacts/people/1011? -> The phone number for contact 1011 is (555) 321-4321."", 'turn 2: Locate (555) 321-4321 on the map -> I’m not finding a map location for that phone number.', 'turn 3: Can you prompt the video camera to start recording? -> Video camera is now running—record away!', ""turn 4: Please fire up my phone's still image camera for a snap. -> Still image camera launched successfully. Ready for your shot!""]"	Let me view that contact	View the full record for content://com.company.contacts/contact/432	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/1011'}}	get_contact_info-971-search_location-1-INTENT_ACTION_VIDEO_CAMERA-1_NR-INTENT_ACTION_STILL_IMAGE_CAMERA-1_NR-ACTION_VIEW_CONTACT-1	1	['ACTION_VIEW_RECENT_APPS', 'ACTION_VIEW_CONTACT', 'ACTION_IMAGE_CAPTURE', 'ACTION_OPEN_DOCUMENT', 'open_settings']
"['turn 1: Give me the postal address of content://profiles/contacts/89. -> The postal address at content://profiles/contacts/89 is 789 Pine Road, Smalltown, CA 90210.', 'turn 2: Retrieve a mailing address from the contacts stored on my phone. -> Opening address picker. Selected: content://contacts/address/89.', ""turn 3: Edit content://contacts/address/89's name to John Doe -> Name field updated to John Doe. (content://contacts/address/89)"", ""turn 4: Send content://contacts/address/89 a message saying 'Your contact name is now John Doe.' -> Your name update confirmation has been sent to content://contacts/address/89.""]"	Open that contact record.	Open content://profiles/contacts/89 contact record.	{'plan': 'ACTION_VIEW_CONTACT', 'arguments': {'contact_uri': 'content://contacts/address/89'}}	get_contact_info-1012-ACTION_PICK-1_NR-ACTION_EDIT_CONTACT-1-send_message-1-ACTION_VIEW_CONTACT-1	1	['dial', 'ACTION_SET_ALARM', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_VIEW_CALL_LOG']
